book_title,chapter,emotion,sentiment
Harry Potter and the Prisoner of Azkaban,48,Anticipation,7.950530035335689e-4
Harry Potter and the Prisoner of Azkaban,48,Disgust,3.8280329799764433e-4
Harry Potter and the Prisoner of Azkaban,48,Fear,7.06713780918728e-4
Harry Potter and the Prisoner of Azkaban,48,Joy,7.06713780918728e-4
Harry Potter and the Prisoner of Azkaban,48,Sadness,0.0016342756183745583
Harry Potter and the Prisoner of Azkaban,48,Surprise,5.447585394581861e-4
Harry Potter and the Prisoner of Azkaban,48,Trust,0.0012073027090694936
Harry Potter and the Prisoner of Azkaban,49,Anger,0.0018070112034694616
Harry Potter and the Prisoner of Azkaban,49,Anticipation,8.244488615829419e-4
Harry Potter and the Prisoner of Azkaban,49,Disgust,7.453921214311529e-4
Harry Potter and the Prisoner of Azkaban,49,Fear,9.599747018431515e-4
Harry Potter and the Prisoner of Azkaban,49,Joy,5.308095410191543e-4
